id,uid,name,time,duration
572166,B04,SpringBoard,1287334395,3
572167,B04,com.facebook.Facebook,1287334398,126
572168,B04,SpringBoard,1287334524,13
572169,B04,com.apple.MobileSMS,1287334634,68
572170,B04,SpringBoard,1287337621,4
572171,B04,com.apple.MobileSMS,1287338409,5
572172,B04,SpringBoard,1287338414,16
572173,B04,com.apple.MobileSMS,1287339308,5
572174,B04,SpringBoard,1287339841,7
572175,B04,com.apple.mobilemail,1287339848,14
572176,B04,com.apple.mobilesafari,1287339862,9
572177,B04,SpringBoard,1287339871,9
572178,B04,com.apple.mobileslideshow-Photos,1287340229,51
572179,B04,SpringBoard,1287340280,7
572180,B04,com.weather.TWC,1287340287,27
572181,B04,SpringBoard,1287340314,3
572182,B04,com.apple.MobileSMS,1287340317,81
572183,B04,SpringBoard,1287340398,5
572184,B04,com.apple.mobilemail,1287340403,12
572185,B04,com.apple.MobileSMS,1287340415,27
572186,B04,SpringBoard,1287340442,1
572187,B04,com.apple.mobilesafari,1287340443,3
572188,B04,SpringBoard,1287340446,5
572189,B04,com.yelp.yelpiphone,1287340451,711
572190,B04,SpringBoard,1287342013,4
572191,B04,com.apple.MobileSMS,1287342017,27
572192,B04,com.apple.MobileSMS,1287342069,21
572193,B04,com.apple.MobileSMS,1287343683,11
572194,B04,SpringBoard,1287343694,1
572195,B04,com.apple.mobilesafari,1287343695,10
572196,B04,SpringBoard,1287343705,2
572197,B04,com.apple.mobilemail,1287343707,12
572198,B04,SpringBoard,1287343719,15
572199,B04,com.apple.MobileSMS,1287347680,19
572200,B04,SpringBoard,1287347699,2
572201,B04,com.apple.mobilephone,1287347701,3
572202,B04,SpringBoard,1287347704,2
572203,B04,com.apple.mobilemail,1287347706,11
572204,B04,SpringBoard,1287347717,2
572205,B04,com.apple.mobilesafari,1287347719,11
572206,B04,com.apple.MobileSMS,1287347753,14
572207,B04,com.apple.MobileSMS,1287347828,9
572208,B04,SpringBoard,1287347837,5
572209,B04,com.facebook.Facebook,1287347842,97
572210,B04,SpringBoard,1287347939,46
572211,B04,com.apple.MobileSMS,1287347985,28
572212,B04,SpringBoard,1287348013,15
572213,B04,com.yelp.yelpiphone,1287348136,89
572214,B04,SpringBoard,1287348225,15
572215,B04,com.yelp.yelpiphone,1287348341,16
572216,B04,SpringBoard,1287348357,1
572217,B04,com.apple.mobilesafari,1287348358,427
572218,B04,com.apple.mobileslideshow-Camera,1287349207,16
572219,B04,SpringBoard,1287349223,35
572220,B04,com.apple.MobileSMS,1287349539,3
572221,B04,SpringBoard,1287349542,1
572222,B04,com.apple.mobilephone,1287350296,2
572223,B04,SpringBoard,1287350298,3
572224,B04,com.apple.MobileSMS,1287351428,5
572225,B04,SpringBoard,1287353279,3
572226,B04,com.apple.mobilephone,1287357962,2
572227,B04,com.apple.mobilesafari,1287358033,16
572228,B04,com.apple.mobilephone,1287358126,5
572229,B04,com.facebook.Facebook,1287358398,80
572230,B04,com.apple.MobileSMS,1287359201,14
572231,B04,SpringBoard,1287359215,15
572232,B04,SpringBoard,1287363164,6
572233,B04,com.apple.MobileSMS,1287363170,70
572234,B04,SpringBoard,1287364320,3
572235,B04,com.apple.MobileSMS,1287365439,915
572236,B04,com.apple.mobilephone,1287366674,2
572237,B04,SpringBoard,1287366676,3
572238,B04,SpringBoard,1287370900,3
572239,B04,com.apple.mobilemail,1287370903,15
572240,B04,SpringBoard,1287370918,1
572241,B04,com.apple.mobilesafari,1287370919,9
572242,B04,SpringBoard,1287370928,1
572243,B04,com.apple.mobilemail,1287370929,1
572244,B04,SpringBoard,1287370930,8
572245,B04,com.facebook.Facebook,1287370938,10
572246,B04,SpringBoard,1287371404,10
572247,B04,com.facebook.Facebook,1287371414,34
572248,B04,SpringBoard,1287371452,172
572249,B04,com.apple.MobileSMS,1287374331,9
572250,B04,SpringBoard,1287374340,1
572251,B04,com.apple.mobilesafari,1287374341,9
572252,B04,SpringBoard,1287374350,1
572253,B04,com.apple.mobilemail,1287374351,13
572254,B04,SpringBoard,1287375535,7
572255,B04,com.apple.mobiletimer,1287375542,3
572256,B04,SpringBoard,1287375545,14071
572257,B04,SpringBoard,1287408666,7
572258,B04,com.groupon.grouponapp,1287408673,10
572259,B04,SpringBoard,1287408683,3
572260,B04,com.livingsocial.deals,1287408686,12
572261,B04,SpringBoard,1287408698,4
572262,B04,com.apple.mobilemail,1287408702,23
572263,B04,SpringBoard,1287408725,1
572264,B04,com.apple.mobilesafari,1287408726,27
572265,B04,com.apple.mobilesafari,1287410919,29
572266,B04,SpringBoard,1287410948,2
572267,B04,com.apple.mobilemail,1287410950,42
572268,B04,SpringBoard,1287410992,3
572269,B04,com.facebook.Facebook,1287410995,111
572270,B04,SpringBoard,1287411106,15
572271,B04,com.apple.mobilesafari,1287412807,19
572272,B04,SpringBoard,1287412826,15
572273,B04,SpringBoard,1287413421,2
572274,B04,com.apple.mobilemail,1287413423,20
572275,B04,SpringBoard,1287413681,2
572276,B04,com.apple.mobilesafari,1287413683,11
572277,B04,SpringBoard,1287414000,3
572278,B04,com.apple.mobilemail,1287414003,18
572279,B04,SpringBoard,1287414021,24
572280,B04,com.facebook.Facebook,1287414045,70
572281,B04,SpringBoard,1287414127,431
572282,B04,com.apple.MobileSMS,1287414558,29
572283,B04,SpringBoard,1287414587,16
572284,B04,com.apple.MobileSMS,1287415118,75
572285,B04,com.apple.MobileSMS,1287415567,17
572286,B04,com.apple.mobilesafari,1287415696,44
572287,B04,SpringBoard,1287415740,20
572288,B04,com.apple.calculator,1287416478,3
572289,B04,SpringBoard,1287416481,1
572290,B04,com.apple.mobilesafari,1287416482,17
572291,B04,SpringBoard,1287416499,3
572292,B04,com.apple.mobilemail,1287417103,6
572293,B04,SpringBoard,1287417109,5
572294,B04,SpringBoard,1287418569,1
572295,B04,com.apple.MobileSMS,1287418570,3
572296,B04,SpringBoard,1287420386,4
572297,B04,com.apple.MobileSMS,1287424360,3
572298,B04,SpringBoard,1287424363,3
572299,B04,com.apple.weather,1287424366,5
572300,B04,com.apple.MobileSMS,1287427967,23
572301,B04,SpringBoard,1287428134,15
572302,B04,SpringBoard,1287428644,4
572303,B04,com.apple.MobileSMS,1287429983,4
572304,B04,SpringBoard,1287429987,4
572305,B04,com.apple.mobilemail,1287429991,35
572306,B04,com.apple.MobileSMS,1287430662,13
572307,B04,SpringBoard,1287430675,15
572308,B04,com.apple.MobileSMS,1287431615,3
572309,B04,SpringBoard,1287431618,8
572310,B04,com.apple.MobileSMS,1287432083,6
572311,B04,SpringBoard,1287432089,7
572312,B04,com.groupon.grouponapp,1287432096,17
572313,B04,SpringBoard,1287432113,16
572314,B04,com.apple.MobileSMS,1287433830,21
572315,B04,SpringBoard,1287433851,3
572316,B04,com.apple.mobilesafari,1287433854,19
572317,B04,SpringBoard,1287433873,1
572318,B04,SpringBoard,1287434164,2
572319,B04,com.apple.MobileSMS,1287434178,15
572320,B04,com.apple.MobileSMS,1287434499,61
572321,B04,SpringBoard,1287434560,15
572322,B04,com.facebook.Facebook,1287434613,91
572323,B04,SpringBoard,1287435960,4
572324,B04,com.apple.MobileSMS,1287439367,22
572325,B04,SpringBoard,1287439389,4
572326,B04,com.apple.mobilemail,1287439393,13
572327,B04,com.apple.mobilesafari,1287439406,8
572328,B04,SpringBoard,1287439414,6
572329,B04,com.apple.AppStore,1287439420,29
572330,B04,SpringBoard,1287439449,31
572331,B04,com.apple.AppStore,1287439480,22
572332,B04,SpringBoard,1287439502,7
572333,B04,com.chillingo.cuttheropelite,1287439931,2
572334,B04,SpringBoard,1287439933,5
572335,B04,com.apple.MobileSMS,1287440009,5
572336,B04,SpringBoard,1287440014,338
572337,B04,com.apple.MobileSMS,1287441723,19
572338,B04,SpringBoard,1287441807,5
572339,B04,com.apple.MobileSMS,1287441812,18
572340,B04,SpringBoard,1287441961,3
572341,B04,com.apple.mobileslideshow-Camera,1287441964,8
572342,B04,SpringBoard,1287442022,4
572343,B04,com.apple.MobileSMS,1287442026,17
572344,B04,SpringBoard,1287442685,12
572345,B04,com.apple.mobilesafari,1287442697,17
572346,B04,com.apple.MobileSMS,1287443112,15
572347,B04,com.apple.MobileSMS,1287443238,5
572348,B04,com.apple.mobilephone,1287443243,128
572349,B04,com.apple.MobileSMS,1287448715,2
572350,B04,SpringBoard,1287452012,4
572351,B04,com.apple.MobileSMS,1287452964,63
572352,B04,SpringBoard,1287453027,6
572353,B04,com.apple.MobileSMS,1287459610,3
572354,B04,SpringBoard,1287459613,2
572355,B04,com.apple.mobilemail,1287459615,43
572356,B04,SpringBoard,1287459658,464
572357,B04,com.apple.mobileslideshow-Photos,1287460122,103
572358,B04,SpringBoard,1287460225,3004
572359,B04,com.apple.MobileSMS,1287463229,91
572360,B04,SpringBoard,1287463320,65
572361,B04,com.apple.MobileSMS,1287463385,97
572362,B04,SpringBoard,1287468348,3
572363,B04,com.apple.mobilemail,1287468351,30
572364,B04,SpringBoard,1287468381,7
572365,B04,com.groupon.grouponapp,1287468388,123
572366,B04,com.apple.mobilesafari,1287470394,5
572367,B04,SpringBoard,1287470399,8
572368,B04,com.apple.mobilemail,1287470407,9
572369,B04,SpringBoard,1287496984,4
572370,B04,com.apple.mobilemail,1287496988,29
572371,B04,SpringBoard,1287501494,6
572372,B04,com.groupon.grouponapp,1287501500,13
572373,B04,com.apple.MobileSMS,1287503424,66
572374,B04,com.apple.MobileSMS,1287503579,15
572375,B04,com.apple.MobileSMS,1287504679,2
572376,B04,SpringBoard,1287504681,1
572377,B04,com.apple.mobilesafari,1287505663,58
572378,B04,SpringBoard,1287505721,15
572379,B04,com.apple.MobileSMS,1287506163,14
572380,B04,SpringBoard,1287506177,16
572381,B04,com.apple.MobileSMS,1287508150,9
572382,B04,SpringBoard,1287508159,15
572383,B04,SpringBoard,1287509874,5
572384,B04,com.apple.mobilemail,1287509922,15
572385,B04,com.apple.mobilemail,1287511269,8
572386,B04,com.apple.MobileSMS,1287511522,4
572387,B04,SpringBoard,1287511526,3477
572388,B04,com.apple.mobilesafari,1287515003,63
572389,B04,com.apple.mobilemail,1287515441,29
572390,B04,SpringBoard,1287515470,15
572391,B04,SpringBoard,1287516338,2
572392,B04,com.apple.mobilesafari,1287516340,12
572393,B04,SpringBoard,1287516352,9
572394,B04,com.apple.mobilesafari,1287516361,69
572395,B04,com.apple.mobilesafari,1287516540,2
572396,B04,com.apple.MobileSMS,1287516691,32
572397,B04,SpringBoard,1287516723,1
572398,B04,com.apple.mobilesafari,1287516724,44
572399,B04,SpringBoard,1287516771,14
572400,B04,com.facebook.Facebook,1287516785,119
572401,B04,SpringBoard,1287516904,2
572402,B04,com.apple.mobilemail,1287516906,11
572403,B04,com.apple.MobileSMS,1287516933,15
572404,B04,SpringBoard,1287516948,15
572405,B04,com.apple.MobileSMS,1287517758,26
572406,B04,SpringBoard,1287517784,6
572407,B04,com.apple.mobilemail,1287517790,16
572408,B04,SpringBoard,1287517806,15
572409,B04,com.apple.MobileSMS,1287517873,22
572410,B04,SpringBoard,1287517895,5
572411,B04,com.groupon.grouponapp,1287517900,17
572412,B04,SpringBoard,1287517917,4
572413,B04,com.apple.MobileSMS,1287517921,36
572414,B04,SpringBoard,1287517957,10
572415,B04,com.apple.mobilemail,1287517967,33
572416,B04,SpringBoard,1287518017,3
572417,B04,com.apple.mobilesafari,1287518020,49
572418,B04,SpringBoard,1287518069,16
572419,B04,SpringBoard,1287518379,4
572420,B04,com.apple.MobileSMS,1287518383,23
572421,B04,SpringBoard,1287518406,15
572422,B04,com.apple.MobileSMS,1287518488,22
572423,B04,SpringBoard,1287518510,16
572424,B04,com.apple.MobileSMS,1287518533,24
572425,B04,com.apple.MobileSMS,1287518640,36
572426,B04,SpringBoard,1287518676,15
572427,B04,SpringBoard,1287518899,4
572428,B04,SpringBoard,1287521617,3
572429,B04,com.apple.mobileslideshow-Camera,1287521620,7
572430,B04,SpringBoard,1287521627,95
572431,B04,SpringBoard,1287522409,3
572432,B04,com.apple.mobilesafari,1287522412,40
572433,B04,SpringBoard,1287522452,15
572434,B04,SpringBoard,1287523578,2
572435,B04,com.apple.mobilemail,1287523580,20
572436,B04,SpringBoard,1287523600,1
572437,B04,com.apple.mobilesafari,1287523957,12
572438,B04,SpringBoard,1287523969,15
572439,B04,SpringBoard,1287524178,4
572440,B04,com.facebook.Facebook,1287524182,3
572441,B04,SpringBoard,1287524185,4
572442,B04,com.apple.mobileslideshow-Photos,1287524189,14
572443,B04,SpringBoard,1287524203,16
572444,B04,com.apple.mobilesafari,1287525756,30
572445,B04,SpringBoard,1287525786,5
572446,B04,com.apple.mobilemail,1287525791,18
572447,B04,SpringBoard,1287525942,2
572448,B04,com.apple.mobilesafari,1287525944,32
572449,B04,SpringBoard,1287526048,3
572450,B04,com.apple.mobileslideshow-Photos,1287530525,2
572451,B04,SpringBoard,1287530527,3
572452,B04,com.apple.MobileSMS,1287530530,11
572453,B04,com.apple.MobileSMS,1287530572,5
572454,B04,com.apple.mobilesafari,1287530643,16
572455,B04,SpringBoard,1287530916,3
572456,B04,com.apple.MobileSMS,1287532806,5
572457,B04,SpringBoard,1287534521,9
572458,B04,com.apple.MobileSMS,1287535252,15
572459,B04,SpringBoard,1287535669,3
572460,B04,com.apple.MobileSMS,1287538210,7
572461,B04,com.apple.MobileSMS,1287538595,6
572462,B04,SpringBoard,1287538601,5
572463,B04,com.apple.mobilephone,1287538606,10
572464,B04,com.apple.MobileSMS,1287543459,24
572465,B04,com.apple.MobileSMS,1287543630,17
572466,B04,SpringBoard,1287543647,1
572467,B04,com.apple.MobileSMS,1287543648,1
572468,B04,SpringBoard,1287549354,29
572469,B04,com.apple.calculator,1287549383,1
572470,B04,SpringBoard,1287549384,3
572471,B04,com.apple.mobiletimer,1287549387,7
572472,B04,SpringBoard,1287549394,10
572473,B04,SpringBoard,1287581293,5
572474,B04,com.apple.mobilemail,1287581298,136
572475,B04,SpringBoard,1287581434,8
572476,B04,com.apple.weather,1287582511,6
572477,B04,SpringBoard,1287582517,372
572478,B04,SpringBoard,1287583619,3
572479,B04,com.apple.mobilesafari,1287583622,82
572480,B04,com.apple.mobilemail,1287586901,22
572481,B04,SpringBoard,1287586923,5
572482,B04,com.facebook.Facebook,1287586928,220
572483,B04,com.apple.youtube,1287587148,120
572484,B04,SpringBoard,1287587268,1
572485,B04,com.apple.mobilesafari,1287587269,15
572486,B04,SpringBoard,1287587284,6
572487,B04,com.livingsocial.deals,1287587290,224
572488,B04,SpringBoard,1287587514,1389
572489,B04,com.apple.mobilesafari,1287589162,66
572490,B04,com.apple.Maps,1287598277,14
572491,B04,com.apple.Maps,1287598444,3
572492,B04,SpringBoard,1287598447,3
572493,B04,com.apple.Maps,1287598450,8
572494,B04,SpringBoard,1287598458,15
572495,B04,SpringBoard,1287599038,3
572496,B04,com.apple.mobilemail,1287599041,2
572497,B04,SpringBoard,1287599043,1
572498,B04,com.apple.mobilesafari,1287599044,20
572499,B04,SpringBoard,1287599064,15
572500,B04,SpringBoard,1287606756,16
572501,B04,com.apple.mobilemail,1287606772,13
572502,B04,SpringBoard,1287606832,14
572503,B04,SpringBoard,1287607755,3
572504,B04,com.apple.Maps,1287607878,15
572505,B04,com.apple.Maps,1287607898,3
572506,B04,SpringBoard,1287607901,2
572507,B04,com.apple.mobilesafari,1287607903,10
572508,B04,SpringBoard,1287607913,1
572509,B04,com.apple.mobilemail,1287607914,15
572510,B04,SpringBoard,1287607929,15
572511,B04,com.apple.Maps,1287608789,15
572512,B04,com.apple.Maps,1287609372,15
572513,B04,com.apple.Maps,1287609639,31
572514,B04,SpringBoard,1287609670,2
572515,B04,SpringBoard,1287609775,3
572516,B04,com.apple.mobilephone,1287610417,3
572517,B04,SpringBoard,1287610420,2
572518,B04,SpringBoard,1287610717,2
572519,B04,com.apple.mobilephone,1287610719,35
572520,B04,SpringBoard,1287610754,9
572521,B04,com.apple.mobilesafari,1287610763,51
572522,B04,SpringBoard,1287610814,14
572523,B04,com.apple.Maps,1287610828,12
572524,B04,SpringBoard,1287610840,16
572525,B04,SpringBoard,1287614406,2
572526,B04,com.apple.mobilesafari,1287614408,42
572527,B04,SpringBoard,1287614450,109
572528,B04,com.apple.mobilemail,1287620782,2
572529,B04,SpringBoard,1287620784,2
572530,B04,SpringBoard,1287620836,2
572531,B04,com.apple.MobileSMS,1287620838,4
572532,B04,SpringBoard,1287620842,6
572533,B04,com.apple.mobilephone,1287620848,14
572534,B04,SpringBoard,1287620862,15
572535,B04,SpringBoard,1287621724,0
